Script,mCap
ITCHOTELS,44591
ABSLAMC,22045
WESTLIFE,10803
HDFCQUAL,0
ASHOKLEY,69403
KIRIINDUS,3337
BIRLACABLE,610
HEALTHADD,0
TOKYOPLAST,133
CREDITACC,18837
ADANIENT,292039
THANGAMAYL,6041
ABMINTLLTD,45
LPDC,125
TINNARUBR,1603
CYBERMEDIA,31
USHAMART,9502
DIGISPICE,516
PRICOLLTD,5380
IGIL,16377
CHEMCON,715
CHEVIOT,639
NIFTYQLITY,0
POWERGRID,267206
VSSL,2069
BSHSL,1482
ALPA,209
IRB,29974
TRIGYN,264
BSLNIFTY,0
HINDZINC,203675
HINDPETRO,83985
GEECEE,817
SIL,131
FINOPB,2523
NECLIFE,515
GFLLIMITED,708
RUCHIRA,413
MIDQ50ADD,0
UNIVPHOTO,277
ATLANTAA,293
QGOLDHALF,0
SKFINDIA,22950
RITCO,798
MUTHOOTFIN,105633
SGIL,852
CONCOR,46519
WEIZMANIND,193
DREDGECORP,2029
JUNIORBEES,0
AUBANK,59291
SHAREINDIA,4053
RKDL,73
MODTHREAD,169
INNOVACAP,5117
TECH,0
MUFTI,1104
GMDCLTD,13206
DHANBANK,1166
OMINFRAL,1211
LODHA,146358
TIPSFILMS,255
ASHOKAMET,43
MOM50,0
TATAGOLD,0
FCL,3134
DCXINDIA,3314
SAPPHIRE,10586
ISFT,178
DMCC,659
ALEMBICLTD,2943
LIQUIDPLUS,0
ELECON,14999
VBL,159420
KOPRAN,937
KIRLOSENG,12592
JPPOWER,12061
SRD,418
TEXMOPIPES,192
LIQUIDBETF,0
TATACHEM,23789
HDFCSILVER,0
IKIO,1667
SBINEQWETF,0
MOMGF,0
IOC,198585
CENTRALBK,34413
COHANCE,38261
TATACONSUM,106991
ICIL,5301
HUBTOWN,3096
SEAMECLTD,2167
AUTOIND,366
IDEA,72700
POLYCAB,91380
AIRAN,382
UNIDT,463
ARIHANTSUP,1598
AAKASH,109
CAPLIPOINT,15960
V2RETAIL,6561
BANSALWIRE,6031
SILVERETF,0
ARIHANTCAP,806
EBBETF0433,0
GOKEX,6818
DYNAMATECH,4993
INDOUS,309
AXISILVER,0
GRANULES,12440
IVZINGOLD,0
TEJASNET,12328
KPEL,3514
SILVERTUC,985
BOROLTD,4185
MASTEK,7629
ZUARIIND,837
GEPIL,2163
AMBUJACEM,135164
BHARATGEAR,139
BANKETF,0
ALPL30IETF,0
OAL,1296
CCCL,827
SUNDRMFAST,20807
DNAMEDIA,60
GROWWEV,0
SURYAROSNI,7525
SANGHVIMOV,2530
INTLCONV,566
TVSMOTOR,134507
DWARKESH,906
KSHITIJPOL,20
RAMASTEEL,1997
MAZDA,488
ARVIND,8927
NITIRAJ,216
KRBL,8232
SSWL,4131
GTL,170
HAVISHA,74
INDTERRAIN,195
WHIRLPOOL,17140
KANORICHEM,423
DPABHUSHAN,3252
XPROINDIA,2766
MUFIN,1231
TMB,7101
FIVESTAR,22540
JUBLFOOD,45813
CHENNPETRO,9398
PRSMJOHNSN,7658
NAVKARCORP,1696
PANAMAPET,2215
CANFINHOME,10612
NEWGEN,17261
EBANKNIFTY,0
MTARTECH,5220
REMSONSIND,491
SUPERHOUSE,193
ABFRL,9146
RVNL,84860
PIXTRANS,2148
CLSEL,1669
UTISENSETF,0
MOIL,7761
TRF,420
INDGN,14448
TATAINVEST,33894
GULFPETRO,232
BLKASHYAP,1566
SREEL,568
CEWATER,1162
NDGL,432
EXPLEOSOL,1996
MIDCAPIETF,0
SANSERA,8436
MIDCAP,0
GPPL,7729
POKARNA,3412
GLENMARK,47611
SUNDRMBRAK,326
GSEC10YEAR,0
UNIECOM,1353
M&M,366486
JWL,16676
SAREGAMA,10245
OILCOUNTUB,441
RAYMONDLSL,6575
PSB,21975
SPECIALITY,615
HBLENGINE,16580
CESC,22430
WEALTH,1383
OIL,76925
RPPL,197
BBNPNBETF,0
TARMAT,141
CEATLTD,14812
DODLA,8437
EMBDL,16185
GATECHDVR,78
SCI,11294
UTIBANKETF,0
JINDALSAW,15425
RELIGARE,7689
MADHAV,42
SHARIABEES,0
VOLTAMP,8980
SURANASOL,175
ESG,0
LINDEINDIA,60531
AVROIND,219
JKTYRE,10078
EUREKAFORB,11392
CUBEXTUB,159
EUROTEXIND,13
ASPINWALL,222
VOLTAS,42934
TVTODAY,1002
PAKKA,832
APOLLOTYRE,28382
ACLGATI,1007
GKWLIMITED,1196
MAHKTECH,0
HBSL,71
CHAMBLFERT,22171
PRAKASH,2929
HATHWAY,2673
SASTASUNDR,1027
HAVELLS,97587
CORDSCABLE,256
AADHARHFC,19000
CLEDUCATE,502
RAMAPHO,444
GVT&D,60276
IDBI,101359
AGRITECH,94
UCOBANK,38935
SINTERCOM,360
STEELCAS,2186
UTINEXT50,0
LIQUIDIETF,0
HGS,2582
ANGELONE,26545
TATAPOWER,126816
METALIETF,0
NELCO,2574
BSOFT,11670
BLUEDART,14946
SHYAMTEL,20
SHALBY,1975
DECCANCE,1031
VETO,242
GANDHITUBE,878
GLOBAL,339
FAIRCHEMOR,1253
3IINFOLTD,434
POWERINDIA,82218
SAHYADRI,346
HAPPYFORGE,9218
SBCL,2796
INDIAGLYCO,5876
ALKEM,57974
PRIMO,647
SUMIT,301
HDFCMID150,0
BHARTIARTL,1120630
ORIENTCER,439
INDIANHUME,2176
MBLINFRA,707
XTGLOBAL,461
INTELLECT,16958
AWL,34123
AMRUTANJAN,2065
ECLERX,16843
JAICORPLTD,2001
SHRIRAMPPS,1740
MAPMYINDIA,9520
URJA,851
THOMASCOTT,444
TATVA,2198
RAJRATAN,2112
AFSL,1225
ABAN,348
SUZLON,89014
ACE,14297
GAIL,124140
PRINCEPIPE,4206
SKIPPER,5809
LT,497009
LORDSCHLO,405
DOLATALGO,1797
PSPPROJECT,3050
SEQUENT,4933
ABDL,12124
JUBLINGREA,12258
BHEL,88531
COFORGE,60648
DPSCLTD,1346
BORANA,618
BORORENEW,7279
MANGLMCEM,2107
QUADFUTURE,1892
MOTOUR,0
SANSTAR,1645
BLUESTARCO,33762
GODREJCP,121165
SRHHYPOLTD,1119
MAMATA,1045
SALONA,132
CONSUMBEES,0
INDNIPPON,1641
SMSLIFE,358
SAMMAANCAP,10334
KMSUGAR,266
TITAN,305468
CGCL,16260
TI,7419
KSB,14532
ECAPINSURE,0
RAJESHEXPO,5753
UNIENTER,1067
IIFL,20794
KOTAKBANK,421884
JKIL,5520
HEXATRADEX,1002
EICHERMOT,149024
RADICO,35366
SJVN,38720
BAJAJCON,2403
STLTECH,5303
DSSL,1454
GROWWN200,0
SHAKTIPUMP,11948
UMESLTD,15
ITC,521648
TEXINFRA,1314
GMRAIRPORT,88550
KARURVYSYA,20044
SENSEXIETF,0
MAHLIFE,6128
HEROMOTOCO,87693
REPCOHOME,2666
MMFL,1777
INFRAIETF,0
MOKSH,123
MANAKSIA,501
AFCONS,16240
RVHL,321
EDELWEISS,9936
SRGHFL,494
MHLXMIRU,232
ANUP,5468
RSWM,816
ITIETF,0
GENUSPAPER,502
SBIETFCON,0
CIEINDIA,16976
DIAMINESQ,366
IVZINNIFTY,0
TRANSWORLD,635
BIGBLOC,994
ROSSARI,3795
TOUCHWOOD,134
HDFCNIFBAN,0
ALICON,1418
HLVLTD,906
SILLYMONKS,18
NAGREEKCAP,34
SHK,3368
SARDAEN,15868
HDFCGROWTH,0
SALSTEEL,153
HEADSUP,23
NDL,562
ROSSELLIND,272
NIF100BEES,0
UDAICEMENT,1716
MICEL,1498
MURUDCERA,269
RALLIS,6283
ANDHRAPAP,1561
SOMICONVEY,186
LLOYDSME,79163
EIEL,3827
AXISCETF,0
DATAPATTNS,16830
63MOONS,4340
UTTAMSUGAR,1141
DUCON,199
NAGREEKEXP,91
GREENPLY,3988
KAYNES,36643
NDRAUTO,2215
ONGC,322008
MCX,40603
SILVER360,0
KELLTONTEC,1254
SETFNIFBK,0
HONDAPOWER,2881
BBETF0432,0
LICNETFGSC,0
PTC,5197
LIQUID1,0
LOYALTEX,145
PNCINFRA,7789
KANANIIND,43
DJML,365
SHREDIGCEM,1143
CCHHL,278
SHIVATEX,276
MAHEPC,391
NV20BEES,0
TRITURBINE,19564
EIFFL,543
PSUBANK,0
DPWIRES,362
NAZARA,12341
BPCL,136854
TRIDENT,15317
SHANKARA,2580
LTGILTBEES,0
LIQUIDADD,0
JSWSTEEL,242711
LIQUIDSHRI,0
SWANENERGY,13561
J&KBANK,11577
JAIPURKURT,61
WHEELS,1855
SALZERELEC,1626
HEXT,50977
SIEMENS,117641
SWARAJENG,4998
DCBBANK,4545
RUBFILA,426
VPRPL,2072
CAPACITE,2815
CAMPUS,8609
FAZE3Q,1352
ROTO,1832
EASEMYTRIP,3930
NIFTY100EW,0
BANKA,83
RACLGEAR,1167
RKFORGE,11537
DENORA,473
LMW,17518
BANARISUG,4913
ACC,35000
MID150CASE,0
AUTOAXLES,2743
SBIETFPB,0
SGL,48
EQUAL50,0
SOTL,2859
PFOCUS,3827
INFY,673501
AGROPHOS,76
SURAKSHA,1700
NIFTYBETF,0
INOXINDIA,10786
MAFANG,0
DIGIDRIVE,118
BERGEPAINT,66352
POONAWALLA,32411
ARVEE,192
TNTELE,46
TCI,8645
PRECWIRE,3207
HONASA,10173
RANASUG,250
KMEW,1702
PHARMABEES,0
SILVER,0
SERVOTECH,3257
EIDPARRY,17111
PONNIERODE,292
MUKANDLTD,1683
AEROFLEX,2295
NUVOCO,12381
GOLDSHARE,0
TVSHLTD,21887
THYROCARE,5380
TATASTEEL,190830
APARINDS,31432
EXIDEIND,32465
HINDALCO,145911
LICNFNHGP,0
TOP100CASE,0
JTEKTINDIA,3641
LAXMICOT,52
WAAREERTL,10204
EMAMILTD,25193
LGHL,1469
NPBET,0
AURUM,1480
SBIETFQLTY,0
SUNTECK,6537
HAL,335875
AMBIKCO,887
MAXIND,980
CSBBANK,6629
MVGJL,1238
VIKASECO,447
MAHABANK,41695
REPL,317
FLUOROCHEM,39909
LALPATHLAB,24457
ESILVER,0
EBBETF0431,0
SHRENIK,37
SIMPLEXINF,2200
MITTAL,68
CHALET,19552
DIAMONDYD,2617
KALYANIFRG,264
RPEL,3358
INNOVANA,867
PRITIKAUTO,299
GSLSU,527
DAMODARIND,87
POLYPLEX,3956
RADAAN,24
VAIBHAVGBL,4057
QUICKHEAL,1976
SUKHJITS,608
RRKABEL,15282
MAXESTATES,8085
SENSEXADD,0
PARADEEP,13702
GLOBUSSPR,2849
TNIDETF,0
PRECOT,667
BVCL,82
EVINDIA,0
BANKBARODA,124218
INOXWIND,22425
DGCONTENT,269
KTKBANK,7721
JKCEMENT,46179
INDSWFTLAB,646
EVEREADY,2338
PARAS,6603
PLAZACABLE,261
HAPPSTMNDS,9753
PFC,132951
HDFCAMC,105586
SURYALAXMI,139
LAMBODHARA,144
JYOTISTRUC,2310
KAJARIACER,16425
AKG,41
JINDALSTEL,93815
CENTENKA,1088
TEAMLEASE,3429
GOPAL,4622
AAVAS,14847
ERIS,25149
HDFCLOWVOL,0
SEPC,2243
ARVINDFASN,6517
RANEHOLDIN,2235
OILIETF,0
MASFIN,4815
SPLPETRO,15020
PURVA,6891
WENDT,1675
MEDPLUS,10729
BAGFILMS,151
LAOPALA,2980
ITDCEM,13795
MEDICO,409
GOACARBON,447
VARDHACRLC,357
GRPLTD,1498
SYRMA,9503
JKLAKSHMI,9624
JINDRILL,1950
OSIAHYPER,275
MUKTAARTS,189
NFL,4927
UNIVASTU,276
CIPLA,122976
BHAGYANGR,243
AEGISVOPAK,27168
BALKRISHNA,67
NELCAST,1242
KRIDHANINF,46
RSYSTEMS,5151
IFGLEXPOR,1837
BTML,160
NOVAAGRI,454
ROML,85
OSWALAGRO,1305
NEXT30ADD,0
MRF,58239
AKSHARCHEM,201
LAXMIDENTL,2311
CUMMINSIND,90506
ENGINERSIN,12695
ARCHIDPLY,211
SHRIRAMFIN,126473
LINC,825
HCG,7577
AMJLAND,267
EIHAHOTELS,2298
LUMAXTECH,7483
FINIETF,0
SARVESHWAR,707
HFCL,12286
RISHABH,1129
GRASIM,183957
FILATEX,2393
AFFORDABLE,507
INDOTECH,2245
INDIAMART,14936
MAXHEALTH,117818
PUNJABCHEM,1344
SAGCEM,2903
SSDL,397
STCINDIA,932
ECOSMOBLTY,1760
AXITA,313
INFRABEES,0
NCLIND,967
VIJAYA,9922
SFL,8015
QNIFTY,0
SHREERAMA,612
MHRIL,6835
NETF,0
CARTRADE,8108
IMAGICAA,3930
KOKUYOCMLN,1298
UCAL,351
IRCON,19316
ORISSAMINE,2947
PILANIINVS,5947
DHANI,4153
5PAISA,1271
MPHASIS,51089
KRITIKA,267
TRACXN,611
CAMS,20471
RITES,14004
SINDHUTRAD,4041
UTIAMC,16289
ACMESOLAR,15348
KEI,35232
ADOR,1745
SNOWMAN,1027
DAVANGERE,333
AARVI,162
HIMATSEIDE,1775
ELGIEQUIP,16829
LICI,592070
INDRAMEDCO,3707
AROGRANITE,60
GENUSPOWER,10316
PRAENG,163
WEBELSOLAR,5349
PNBHOUSING,27693
AXISTECETF,0
GROWWSLVR,0
